id,name,parent_id/id,printed,percent,sequence,other_type,is_required_note
tr_wht.wht_type_1,1. เงินเดือน ค่าจ้าง เบี้ยเลี้ยง โบนัส ฯลฯ ตามมาตรา 40 (1),,เงินเดือน,3,100,,FALSE
tr_wht.wht_type_2,2. ค่าธรรมเนียม ค่านายหน้า ฯลฯ ตามมาตรา 40 (2),,ค่าธรรมเนียม ค่านายหน้า,3,200,,FALSE
tr_wht.wht_type_3,3. ค่าแห่งลิขสิทธิ์ ฯลฯ ตามมาตรา 40 (3),,ค่าแห่งลิขสิทธิ์ ฯลฯ,3,300,,FALSE
tr_wht.wht_type_40,4 (ก) ดอกเบี้ย ฯลฯ ตามมาตรา 40 (4)(ก),,ดอกเบี้ย ฯลฯ,1,400,,FALSE
tr_wht.wht_type_411,4 (1.1) อัตราร้อยละ 30 ของกำไรสุทธิ ตามมาตรา 40 (4)(ข),,อัตราร้อยละ 30 ของกำไรสุทธิ,1,411,,FALSE
tr_wht.wht_type_412,4 (1.2) อัตราร้อยละ 25 ของกำไรสุทธิ ตามมาตรา 40 (4)(ข),,อัตราร้อยละ 25 ของกำไรสุทธิ,3,412,,FALSE
tr_wht.wht_type_413,4 (1.3) อัตราร้อยละ 20 ของกำไรสุทธิ ตามมาตรา 40 (4)(ข),,อัตราร้อยละ 20 ของกำไรสุทธิ,3,413,,FALSE
tr_wht.wht_type_414,4 (1.4) อัตราอื่นๆ ฯลฯ ตามมาตรา 40 (4)(ข),,อัตราอื่นๆ ฯลฯ,3,414,,FALSE
tr_wht.wht_type_421,4 (2.1) กำไรสุทธิของกิจการที่ได้รับยกเว้นเงินได้ภาษีเงินได้นิติบุคคล,,กำไรสุทธิของกิจการที่ได้รับยกเว้นเงินได้ภาษีเงินได้นิติบุคคล,3,421,,FALSE
tr_wht.wht_type_422,4 (2.2) เงินปันผลหรือเงินส่วนแบ่งของกำไรที่ได้รับยกเว้นไม่ต้องนำมารวมคำนวณเป็นรายได้เพื่อเสียภาษีเงินได้นิติบุคคล,,เงินปันผลหรือเงินส่วนแบ่งของกำไรที่ได้รับยกเว้นภาษีเงินได้นิติบุคคล,3,422,,FALSE
tr_wht.wht_type_423,4 (2.3) กำไรสุทธิส่วนที่ได้หักผลขาดทุนสุทธิยกมาไม่เกิน 5 ปีก่อนรอบระยะเวลาบัญชีปีปัจจุบัน,,กำไรสุทธิส่วนที่ได้หักผลขาดทุนสุทธิยกมาไม่เกิน 5 ปีก่อนรอบระยะเวลาบัญชีปีปัจจุบัน,3,423,,FALSE
tr_wht.wht_type_424,4 (2.4) กำไรที่รับรู้ทางบัญชีโดยวิธีส่วนได้เสีย (Equity method),,กำไรที่รับรู้ทางบัญชีโดยวิธีส่วนได้เสีย,3,424,,FALSE
tr_wht.wht_type_425,4 (2.5) อื่นๆ,,,3,425,,FALSE
tr_wht.wht_type_500,5 การจ่ายเงินได้ที่ต้องหักภาษี ณ ที่จ่าย ตามคำสั่งกรมสรรพากรที่ออกตามมาตรา 3 เตรส เช่น รางวัล ส่นลดหรือประโยชน์ใดๆ เนื่องากการส่งเสริมการขาย รางวัลในการประกวด การแข่งขัน การชิงโชค ค่าแสดงของนักแสดงสาธารณะ ค่าจ้าทำของ ค่าโฆษณา ค่าเช่า ค่าขนส่ง ค่าบริการ ค่า,,ค่าเช่า,5,500,,FALSE
tr_wht.wht_type_540,5.4  ค่าขนส่ง,tr_wht.wht_type_500,ค่าขนส่ง,1,540,,FALSE
tr_wht.wht_type_510,5.1 ค่าจ้างทำของ,tr_wht.wht_type_500,ค่าจ้างทำของ,3,510,,FALSE
tr_wht.wht_type_560,5.6 ค่าเบี้ยประกันวินาศภัย,tr_wht.wht_type_500,ค่าเบี้ยประกันวินาศภัย,1,560,,FALSE
tr_wht.wht_type_520,5.2 ค่าโฆษณา,tr_wht.wht_type_500,ค่าโฆษณา,2,520,,FALSE
tr_wht.wht_type_550,5.5 ค่าบริการ,tr_wht.wht_type_500,ค่าบริการ,3,550,,FALSE
tr_wht.wht_type_530,5.3 ค่าเช่า,tr_wht.wht_type_500,ค่าเช่า,5,530,,FALSE
tr_wht.wht_type_600,6 อื่นๆ (ระบุ),,,3,600,,FALSE
tr_wht.wht_type_660,6.6 ค่าเบี้ยประกันวินาศภัย,tr_wht.wht_type_600,ค่าเบี้ยประกันวินาศภัย,1.5,660,,FALSE
tr_wht.wht_type_630,6.3 ค่าเช่า,tr_wht.wht_type_600,ค่าเช่า,5,630,,FALSE
tr_wht.wht_type_620,6.2 ค่าโฆษณา,tr_wht.wht_type_600,ค่าโฆษณา,2,620,,FALSE
tr_wht.wht_type_610,6.1 ค่าจ้างทำของ,tr_wht.wht_type_600,ค่าจ้างทำของ,3,610,,FALSE
tr_wht.wht_type_650,6.5 ค่าบริการ,tr_wht.wht_type_600,ค่าบริการ,3,650,,FALSE
tr_wht.wht_type_640,6.4  ค่าขนส่ง,tr_wht.wht_type_600,ค่าขนส่ง,1,640,,FALSE
